0,23200405455788160000000000000
0.1,23138301141686698000000000000
0.2,23076269553464633000000000000
0.3,23014310687288595000000000000
0.4,22952424539396017000000000000
0.5,22890611106036090000000000000
0.6,22828870383474066000000000000
0.7,22767202367984740000000000000
0.8,22705607055859270000000000000
0.9,22644084443411735000000000000
1,22582634526966125000000000000
1.1,22521257302864930000000000000
1.2,22459952767466968000000000000
1.3,22398720917147480000000000000
1.4,22337561748296530000000000000
1.5,22276475257322430000000000000
1.6,22215461440648990000000000000
1.7,22154520294716468000000000000
1.8,22093651815981110000000000000
1.9,22032856000916865000000000000
2,21972132846013000000000000000
2.1,21911482347776274000000000000
2.2,21850904502730145000000000000
2.3,21790399307414235000000000000
2.4,21729966758384928000000000000
2.5,21669606852215594000000000000
2.6,21609319585496490000000000000
2.7,21549104954834690000000000000
2.8,21488962956854186000000000000
2.9,21428893588195730000000000000
3,21368896845517538000000000000
3.1,21308972725494110000000000000
3.2,21249121224817900000000000000
3.3,21189342340197783000000000000
3.4,21129636068360354000000000000
3.5,21070002406049150000000000000
3.6,21010441350024935000000000000
3.7,20950952897066114000000000000
3.8,20891537043968030000000000000
3.9,20832193787543636000000000000
4,20772923124623440000000000000
4.1,20713725052055177000000000000
4.2,20654599566704370000000000000
4.3,20595546665453980000000000000
4.4,20536566345204758000000000000
4.5,20477658602875043000000000000
4.6,20418823435400880000000000000
4.7,20360060839736030000000000000
4.8,20301370812852278000000000000
4.9,20242753351739110000000000000
5,20184208453403950000000000000
5.1,20125736114872302000000000000
5.2,20067336333187486000000000000
5.3,20009009105411020000000000000
5.4,19950754428622544000000000000
5.5,19892572299919765000000000000
5.6,19834462716418597000000000000
5.7,19776425675253336000000000000
5.8,19718461173576330000000000000
5.9,19660569208558482000000000000
6,19602749777389117000000000000
6.1,19545002877275787000000000000
6.2,19487328505444810000000000000
6.3,19429726659140710000000000000
6.4,19372197335626996000000000000
6.5,19314740532185486000000000000
6.6,19257356246116906000000000000
6.7,19200044474740602000000000000
6.8,19142805215394753000000000000
6.9,19085638465436384000000000000
7,19028544222241404000000000000
7.1,18971522483204623000000000000
7.2,18914573245739986000000000000
7.3,18857696507280266000000000000
7.4,18800892265277494000000000000
7.5,18744160517202786000000000000
7.6,18687501260546500000000000000
7.7,18630914492818188000000000000
7.8,18574400211546730000000000000
7.9,18517958414280277000000000000
8,18461589098586564000000000000
8.1,18405292262052577000000000000
8.2,18349067902285010000000000000
8.3,18292916016909940000000000000
8.4,18236836603573117000000000000
8.5,18180829659940024000000000000
8.6,18124895183695801000000000000
8.7,18069033172545358000000000000
8.8,18013243624213454000000000000
8.9,17957526536444714000000000000
9,17901881907003665000000000000
9.1,17846309733674933000000000000
9.2,17790810014263030000000000000
9.3,17735382746592675000000000000
9.4,17680027928508710000000000000
9.5,17624745557876143000000000000
9.6,17569535632580274000000000000
9.7,17514398150526765000000000000
9.8,17459333109641540000000000000
9.9,17404340507871027000000000000
10,17349420343182104000000000000
10.1,17294572613562205000000000000
10.2,17239797317019367000000000000
10.3,17185094451582177000000000000
10.4,17130464015300066000000000000
10.5,17075906006243133000000000000
10.6,17021420422502347000000000000
10.7,16967007262189450000000000000
10.8,16912666523437306000000000000
10.9,16858398204399603000000000000
11,16804202303251086000000000000
11.1,16750078818187664000000000000
11.2,16696027747426420000000000000
11.3,16642049089205605000000000000
11.4,16588142841784766000000000000
11.5,16534309003444730000000000000
11.6,16480547572487870000000000000
11.7,16426858547237822000000000000
11.8,16373241926039882000000000000
11.9,16319697707260870000000000000
12,16266225889289198000000000000
